"Part";"Value";"Device";"Package";"Description";"COPYRIGHT";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"DIGI-KEY_PART_NUMBER_4";"MANUFACTURER_PART_NUMBER";"MFR_NAME";"POPULARITY";"PROD_ID";"TP_SIGNAL_NAME";"VALUE";
"3V3_TP";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";"";"";"19";"";"";"";
"ADC_TP";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";"";"";"19";"";"";"";
"C1";"0.1uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C2";"0.1uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C3";"0.1uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C4";"0.1uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C5";"0.1uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C6";"1uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C7";"1uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C8";"15nF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C9";"15nF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C10";"15nF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"C11";"15nF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"CAP-11015";"";"10uF";
"GND_TP";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";"";"";"19";"";"";"";
"JP1";"";"PINHD-1X5";"1X05";"PIN HEADER";"";"";"";"";"";"";"";"69";"";"";"";
"JP2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"98";"";"";"";
"LED1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"26";"";"";"";
"LED2";"";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"26";"";"";"";
"R1";"10k";"1.8KOHM-0603-1/10W-1%";"0603";"1.8kΩ resistor";"";"";"";"";"";"";"";"";"RES-09119";"";"1.8k";
"R2";"10k";"1.8KOHM-0603-1/10W-1%";"0603";"1.8kΩ resistor";"";"";"";"";"";"";"";"";"RES-09119";"";"1.8k";
"R3";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R4";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R5";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R6";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R7";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R8";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R9";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R10";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R11";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R12";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R13";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R14";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R15";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R16";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R17";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R18";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R19";"1k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"";"";"";"";"";"";"";"RES-00824";"";"10k";
"R23";"1k";"1.5KOHM-0603-1/10W-1%";"0603";"1.5kΩ resistor";"";"";"";"";"";"";"";"";"RES-08306";"";"1.5k";
"R24";"1k";"1.5KOHM-0603-1/10W-1%";"0603";"1.5kΩ resistor";"";"";"";"";"";"";"";"";"RES-08306";"";"1.5k";
"RESET_BUTTON";"PUSH_BUTTON";"PUSH_BUTTON";"PUSH_BUTTON";"";"";"";"";"";"";"";"";"";"";"";"";
"U$1";"SLIDE_SWITCH";"SLIDE_SWITCH";"SLIDE_SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"SLIDE_SWITCH";"SLIDE_SWITCH";"SLIDE_SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"BNO055-ADAFRUIT";"BNO055-ADAFRUIT";"BNO055-ADAFRUIT";"";"";"";"";"";"";"";"";"";"";"";"";
"U$4";"JST-PH_2-PIN_HEADER";"JST-PH_2-PIN_HEADER";"JST_B2B-PH_HEADER";"2-pin JST PH Shrouded Header, top entry";"";"";"";"";"";"";"";"";"";"";"";
"U$5";"BLE_FRIEND";"BLE_FRIEND";"BLE_FRIEND";"";"";"";"";"";"";"";"";"";"";"";"";
"U$6";"10PIN_CONNECTOR";"10PIN_CONNECTOR";"10PIN_CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";
"U$7";"10PIN_CONNECTOR";"10PIN_CONNECTOR";"10PIN_CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"STM32L053C8T6D";"STM32L053C8T6D";"LQFP48-7X7MM";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"STM32L053C8T6D-ND";"";"";"";"STM32L053C8T6D";"STMicroelectronics";"";"";"";"";
"U2";"NCP115ASN330T2G";"NCP115ASN330T2G";"TSOP-5-483-N_ONS";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"NCP115ASN330T2GOSTR-ND";"NCP115ASN330T2GOSCT-ND";"NCP115ASN330T2GOSDKR-ND";"2156-NCP115ASN330T2G-OS-ND";"NCP115ASN330T2G";"onsemi";"";"";"";"";
"VBAT_TP";"TPB1,27";"TPB1,27";"B1,27";"Test pad";"";"";"";"";"";"";"";"19";"";"";"";
